,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57,K58,K59,K60,K61,K62,K63,K64,K65,K66,K67,K68,K69,K70,K71,K72,K73,K74,K75,K76,K77,K78,K79,K80,K81,K82,K83,K84,K85,K86,K87,K88,K89,K90,K91,K92,K93,K94,K95,K96,K97,K98,K99,
T1,,,,,,,,,,,,,,,,,,,,R10,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,R1,,R8,R3,,,,,,,,,,,R4,,,,,,,,,,,R9,R7,R6,,,,,,,
T2,,,,,,,,,,,,,,,,,,R8,,,,R2,,,,,,,,,,,,,R5,,R6,,,,,,,R1,,,,,,,,,,,,,,,,,R10,,,,,,,,,,,,,,,R7,R3,,,,,,,R9,,,,,,R4,,,,,,,,,,
T3,,,,,,R5,,,,,,R4,,,R6,,,,,,,,,,,R1,,,R3,,,R7,,,,,,R9,,,,,,,,R2,,,,,,,,,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8,,,,
T4,,R10,,,,,,,,,,,,R6,,,,,,,,,,,R2,,,,,,,,R3,,,,,,,,,,,,R1,,,,,,,,,,R7,,,,,,,,,,R8,,,,,R4,,,,,,,,,,,,,R5,,,,,R9,,,,,,,,,,,,
T5,,,,,,,,,R1,,R9,,,,,,,,,,,,,R2,,,R6,,,,,,,,,,,,R4,,,R8,,,,,,,,R10,,,,,,R7,,,R5,,,,,,,,,,,,,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6,,,,,,,R4,,,,,,,,,R7,,,,,R9,,,,,,,R3,,,,,,,,,,,,R10,,,R8,,,,R1,,,,R2,R6,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T7,R1,,,,,,,,,R9,,,,,,,,,,,,,,,,,,,,R5,,,,,,,,,,,,,,,,,,R3,R6,,,,,,,,,,,,,,,R8,,,,,,,,,,,,,,R7,R10,,,,,,,,,,,,,,,,R4,,,,,
T8,,,R5,,,,,,,,,,,,,,R3,,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,,,,,,R10,,,,,,,,,,,,R8,,,,,,,,R9,,,R4,R6,R1,,,,,,,R7,,,,,,
T9,,,,,R10,,,R9,,,,,,,,,,,,,,,,,,,,,,,R8,,,,,,,,,,,,,,,,,,,,,,,,,,R4,,,,,,R1,,,,R7,,,,,,R6,,R2,,,,,,R3,,,,,,,,R5,,,,,,,,,,,
T10,,,,R5,,,,,,,,,R8,,,,,,R4,,,,,,,,,,,,,,,R2,,R7,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,R10,R9,R3,
